number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_horizon,params_lags,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_rolling_window,params_subsample,params_use_all_stats,params_use_fourier,params_use_holidays,state
15,0.1939916680594922,2025-08-26 00:24:59.501914,2025-08-26 00:25:00.773987,0 days 00:00:01.272073,0.9092942863103491,1,"(1, 2, 3, 4, 5)",0.0116972760843976,10,0.15655110809074868,370,0.15629550044793733,2.0088740562291205,"(3, 6)",0.9171640997709498,True,True,True,COMPLETE
16,0.18378347156421734,2025-08-26 00:25:00.774296,2025-08-26 00:25:01.631691,0 days 00:00:00.857395,0.8983492531528035,1,"(1, 2, 3, 4, 5)",0.025282368721403704,6,0.47038062854394336,461,0.023019730410936353,30.894369865826704,"(3, 6)",0.9966216432163054,True,True,True,COMPLETE
17,0.22474202054548023,2025-08-26 00:25:01.632023,2025-08-26 00:25:03.379750,0 days 00:00:01.747727,0.797548227815834,1,"(1, 2, 3, 4, 5)",0.05366010230016366,9,0.728662678336525,569,1.5768187546384993,0.7499275804130713,"(3, 6)",0.8301392069471774,True,True,True,COMPLETE
18,0.3154777642275391,2025-08-26 00:25:03.380072,2025-08-26 00:25:04.269211,0 days 00:00:00.889139,0.8548292143358184,3,"(1, 2, 3, 4, 5)",0.033435524363920714,7,0.2739164329860641,438,0.14671063315242316,26.244683843185513,"(3, 6)",0.8752458138454327,False,True,True,COMPLETE
19,0.1726672100809734,2025-08-26 00:25:04.269536,2025-08-26 00:25:04.915600,0 days 00:00:00.646064,0.881235523113361,1,"(1, 2, 3, 4, 5)",0.018716042216624935,6,0.24123485131300587,353,1.4895788916541208,93.09548189299953,"(3, 6)",0.8031823603294508,True,True,True,COMPLETE
20,0.1865302019456989,2025-08-26 00:25:04.915935,2025-08-26 00:25:05.543127,0 days 00:00:00.627192,0.9044789733806218,1,"(1, 2, 3, 4, 5)",0.01856509698729755,6,0.10572757890041203,337,2.4492351565581902,4.170886392791714,"(3, 6)",0.7889657723757139,True,True,True,COMPLETE
21,0.17236903089294947,2025-08-26 00:25:05.543453,2025-08-26 00:25:06.716130,0 days 00:00:01.172677,0.8747434100786874,1,"(1, 2, 3, 4, 5)",0.027766295645776193,8,0.2618068357455883,466,0.9739241572898527,68.32623053399666,"(3, 6)",0.8388832634227715,True,True,True,COMPLETE
22,0.1771228715862834,2025-08-26 00:25:06.716440,2025-08-26 00:25:07.359208,0 days 00:00:00.642768,0.8753224178584214,1,"(1, 2, 3, 4, 5)",0.01163643474715609,5,0.194539388960527,408,1.6669472755958579,92.8403696054355,"(3, 6)",0.8478456077509278,True,True,True,COMPLETE
23,0.18089021868388125,2025-08-26 00:25:07.359530,2025-08-26 00:25:08.069863,0 days 00:00:00.710333,0.9276084564420125,1,"(1, 2, 3, 4, 5)",0.01962816433905263,7,1.1956905659645607,320,0.789568718510713,18.14431197137608,"(3, 6)",0.7898473480451678,True,True,True,COMPLETE
24,0.19162295780033123,2025-08-26 00:25:08.070183,2025-08-26 00:25:09.636285,0 days 00:00:01.566102,0.8738741935829669,1,"(1, 2, 3, 4, 5)",0.03132946496967753,9,0.2846595963775383,523,0.8940997379974339,11.455190903712298,"(3, 6)",0.8420398821404078,True,True,True,COMPLETE
25,0.17670188584174917,2025-08-26 00:25:09.636600,2025-08-26 00:25:10.198150,0 days 00:00:00.561550,0.8381293241960863,1,"(1, 2, 3, 4, 5)",0.042188443470684824,5,0.8317823568256287,351,3.266064762731055,98.73366924940193,"(3, 6)",0.8008010697947405,True,True,True,COMPLETE
26,0.27162013838303234,2025-08-26 00:25:10.198483,2025-08-26 00:25:10.709944,0 days 00:00:00.511461,0.8874452906490574,3,"(1, 2, 3, 4, 5)",0.028487723548621537,6,4.663235663529531,285,0.21062749766774574,38.26916817360149,"(3, 6)",0.9005989225297633,False,True,True,COMPLETE
27,0.18579881875953225,2025-08-26 00:25:10.710266,2025-08-26 00:25:12.159558,0 days 00:00:01.449292,0.8580097933253876,1,"(1, 2, 3, 4, 5)",0.020700226239359836,8,0.26978829725877546,566,4.3069985237518384,6.384894277060521,"(3, 6)",0.8820297131665576,True,True,True,COMPLETE
28,0.17656167307852896,2025-08-26 00:25:12.159879,2025-08-26 00:25:13.126331,0 days 00:00:00.966452,0.9180325429264693,1,"(1, 2, 3, 4, 5)",0.010379293035211656,7,0.10236961976060119,435,0.9549943123576304,26.207026415297424,"(3, 6)",0.7048286729009523,True,True,True,COMPLETE
29,0.22682661895808243,2025-08-26 00:25:13.126660,2025-08-26 00:25:14.489806,0 days 00:00:01.363146,0.9548710079607194,1,"(1, 2, 3, 4, 5)",0.049443614094604356,8,0.1859368559172427,473,0.031368080620087106,0.3860315481776819,"(3, 6)",0.7270742874822088,True,True,True,COMPLETE
30,0.180327028478378,2025-08-26 00:25:14.490128,2025-08-26 00:25:15.329466,0 days 00:00:00.839338,0.9908261266937219,1,"(1, 2, 3, 4, 5)",0.015225081801045221,7,0.4265696929092577,378,9.998535575650722,2.4041891110200773,"(3, 6)",0.9387571507213267,True,True,True,COMPLETE
31,0.17651367954721336,2025-08-26 00:25:15.329792,2025-08-26 00:25:16.657088,0 days 00:00:01.327296,0.810310500745476,1,"(1, 2, 3, 4, 5)",0.02643094946339397,8,0.4247618556463119,526,0.07333282076019661,43.25401434982665,"(3, 6)",0.827376638098717,True,True,True,COMPLETE
32,0.1801581266145481,2025-08-26 00:25:16.657408,2025-08-26 00:25:17.990171,0 days 00:00:01.332763,0.75907131788143,1,"(1, 2, 3, 4, 5)",0.03715338936495158,9,0.20967014788845098,455,0.265480842926991,60.990973777642985,"(3, 6)",0.8077342240765806,True,True,True,COMPLETE
33,0.18230405950325135,2025-08-26 00:25:17.990475,2025-08-26 00:25:19.486875,0 days 00:00:01.496400,0.8244854334175943,1,"(1, 2, 3, 4, 5)",0.0171864052871955,8,1.3022408869804676,606,0.09319645535654798,18.247676207478474,"(3, 6)",0.7816034937940899,True,True,True,COMPLETE
34,0.23408994220762594,2025-08-26 00:25:19.487222,2025-08-26 00:25:20.775138,0 days 00:00:01.287916,0.79491767462653,1,"(1, 2, 3)",0.022356018342090042,8,0.470336295918335,493,0.0450245848014755,0.0014742899085835835,"(3, 6)",0.8365527646481614,True,True,True,COMPLETE
35,0.17617852994302072,2025-08-26 00:25:20.775455,2025-08-26 00:25:21.669357,0 days 00:00:00.893902,0.8399978225961469,1,"(1, 2, 3, 4, 5)",0.027078942564442886,7,0.7943251307986059,408,0.01606460443886478,49.42296245759425,"(3, 6)",0.7359878917940226,True,True,True,COMPLETE
36,0.1860357810213596,2025-08-26 00:25:21.669682,2025-08-26 00:25:22.136205,0 days 00:00:00.466523,0.8670950775236604,1,"(1, 2, 3, 4, 5)",0.03679572735709433,6,9.870981737153945,254,0.7117393935422347,12.288944666897075,"(3, 6, 12)",0.7732003023559547,True,False,False,COMPLETE
37,0.23807802922006,2025-08-26 00:25:22.136528,2025-08-26 00:25:23.141049,0 days 00:00:01.004521,0.8126895787004823,3,"(1, 2, 3)",0.01322250144860697,10,0.14886398972243672,298,0.009641914044360565,94.08789518417385,"(3, 6)",0.8568700201614712,True,True,True,COMPLETE
38,0.24776303875194827,2025-08-26 00:25:23.141388,2025-08-26 00:25:24.800759,0 days 00:00:01.659371,0.966320482763396,1,"(1, 2, 3, 4, 5)",0.060591887747133935,9,0.3324145053160744,594,0.1324662505221392,4.725008983620562,"(3, 6, 12)",0.754718071735239,False,False,False,COMPLETE
39,0.23761582855732005,2025-08-26 00:25:24.801085,2025-08-26 00:25:26.239729,0 days 00:00:01.438644,0.9266664844983734,1,"(1, 2, 3)",0.016206950361032358,8,0.6259339824802691,547,0.2576549465650649,0.11854639491306028,"(3, 6)",0.8206525478012897,True,True,True,COMPLETE
40,0.7906695749217385,2025-08-26 00:25:26.240059,2025-08-26 00:25:27.189607,0 days 00:00:00.949548,0.8940463630710681,3,"(1, 2, 3, 4, 5)",0.08066612718954563,5,3.5075768891414887,647,1.7032912411100256,0.003101012080170661,"(3, 6, 12)",0.8003836323576077,False,False,False,COMPLETE
41,0.17639877914578275,2025-08-26 00:25:27.189933,2025-08-26 00:25:28.454955,0 days 00:00:01.265022,0.8329473588364079,1,"(1, 2, 3, 4, 5)",0.023117294472633703,8,0.3332703307567208,495,0.47451088497936045,53.20564601518879,"(3, 6)",0.8119137107003107,True,True,True,COMPLETE
42,0.18016955322298595,2025-08-26 00:25:28.455299,2025-08-26 00:25:29.575316,0 days 00:00:01.120017,0.8415843346144675,1,"(1, 2, 3, 4, 5)",0.02380656844678617,7,0.2063929547089498,509,0.4676259249574232,34.80564512677119,"(3, 6)",0.8411019821223414,True,True,True,COMPLETE
43,0.17971779070656377,2025-08-26 00:25:29.575643,2025-08-26 00:25:30.917976,0 days 00:00:01.342333,0.7844372052831103,1,"(1, 2, 3, 4, 5)",0.01907698016824781,9,1.6685676717141456,473,0.32511263906039056,21.92716505855899,"(3, 6)",0.7686014906870791,True,True,True,COMPLETE
44,0.20160765755387625,2025-08-26 00:25:30.918303,2025-08-26 00:25:32.061371,0 days 00:00:01.143068,0.8862755995670077,1,"(1, 2, 3, 4, 5)",0.1922255549008374,8,0.15218909465486005,426,1.320762265237585,62.59752991998982,"(3, 6)",0.8610729756446978,True,True,True,COMPLETE
45,0.19336776253244328,2025-08-26 00:25:32.061720,2025-08-26 00:25:33.301556,0 days 00:00:01.239836,0.8223132670514063,1,"(1, 2, 3, 4, 5)",0.04376695603343279,8,0.3875612023234625,478,0.618318456193448,10.943571317520949,"(3, 6)",0.817056598508727,True,True,True,COMPLETE
46,0.1739973888067532,2025-08-26 00:25:33.301887,2025-08-26 00:25:34.274892,0 days 00:00:00.973005,0.8635545282103375,1,"(1, 2, 3)",0.033055669761492316,7,0.24335981499268944,450,0.09660560949504048,89.11652872955196,"(3, 6)",0.8286048540797599,True,True,True,COMPLETE
47,0.1836274175291826,2025-08-26 00:25:34.275207,2025-08-26 00:25:35.231306,0 days 00:00:00.956099,0.8642227662316287,1,"(1, 2, 3)",0.029085540854428694,7,0.2218923567414179,449,0.04302149628087122,92.41751871239482,"(3, 6, 12)",0.8304776167276724,True,False,False,COMPLETE
48,0.4209721008400491,2025-08-26 00:25:35.231624,2025-08-26 00:25:35.706864,0 days 00:00:00.475240,0.8496111400690156,3,"(1, 2, 3)",0.03609757363899159,7,0.5995548681637661,222,0.08620330331901102,0.041802029034229006,"(3, 6)",0.8805709131995357,False,True,True,COMPLETE
49,0.18231763387409874,2025-08-26 00:25:35.707197,2025-08-26 00:25:36.425853,0 days 00:00:00.718656,0.9112414085617472,1,"(1, 2, 3)",0.021078992956662844,6,10.225835062201114,403,0.033249613978935395,29.633479170469936,"(3, 6)",0.8004644667488768,True,True,True,COMPLETE
50,0.18955771005374789,2025-08-26 00:25:36.426180,2025-08-26 00:25:37.613803,0 days 00:00:01.187623,0.7084708823711203,1,"(1, 2, 3)",0.03245779804458325,6,45.79391380448003,696,0.0029881883453874224,8.62830012298725,"(3, 6)",0.7800243566128864,True,True,True,COMPLETE
51,0.17610874030682533,2025-08-26 00:25:37.614145,2025-08-26 00:25:38.782874,0 days 00:00:01.168729,0.8827808914238819,1,"(1, 2, 3)",0.026022401688130494,7,0.13891675405765683,545,0.1511820249795138,60.36388789850177,"(3, 6)",0.8503844094134512,True,True,True,COMPLETE
52,0.17424585653497238,2025-08-26 00:25:38.783229,2025-08-26 00:25:40.080839,0 days 00:00:01.297610,0.8012694114139819,1,"(1, 2, 3, 4, 5)",0.01372773761247375,8,0.25802649515892395,508,0.2062395077371788,41.32358538934244,"(3, 6)",0.8198726595153472,True,True,True,COMPLETE
53,0.1697976438904693,2025-08-26 00:25:40.081194,2025-08-26 00:25:41.587001,0 days 00:00:01.505807,0.7375584929159558,1,"(1, 2, 3, 4, 5)",0.013784753415585197,9,0.25824629909550667,514,0.11627425041032521,43.82159083359466,"(3, 6)",0.8255261969480938,True,True,True,COMPLETE
54,0.1804427033441666,2025-08-26 00:25:41.587343,2025-08-26 00:25:42.752558,0 days 00:00:01.165215,0.727956656878781,1,"(1, 2, 3)",0.017600362038096187,10,0.172524064778283,357,0.07072638182321016,15.24081942803003,"(3, 6)",0.8663131273264327,True,True,True,COMPLETE
55,0.193842669245465,2025-08-26 00:25:42.752887,2025-08-26 00:25:44.125005,0 days 00:00:01.372118,0.7610518650839257,1,"(1, 2, 3, 4, 5)",0.1351135851188413,9,0.37087851958882156,451,0.12300302025936471,99.91509001795913,"(3, 6)",0.7913899983820587,True,True,True,COMPLETE
56,0.17606277086581992,2025-08-26 00:25:44.125346,2025-08-26 00:25:45.703279,0 days 00:00:01.577933,0.746512735105705,1,"(1, 2, 3, 4, 5)",0.012113959719707482,9,0.11297330039941313,547,0.021180115571328286,23.03559906722758,"(3, 6)",0.8291648412003997,True,True,True,COMPLETE
57,0.18837359850416704,2025-08-26 00:25:45.703621,2025-08-26 00:25:46.842122,0 days 00:00:01.138501,0.8625966106347742,1,"(1, 2, 3, 4, 5)",0.041614750107280135,9,0.61410724323552,388,0.05286627078464749,37.63946466293315,"(3, 6, 12)",0.849120033271722,True,False,True,COMPLETE
58,0.277635108421464,2025-08-26 00:25:46.842465,2025-08-26 00:25:47.715549,0 days 00:00:00.873084,0.8939215942639381,3,"(1, 2, 3, 4, 5)",0.010150751017126194,5,1.0358475335180555,589,2.5670087041444987,67.15524140852177,"(3, 6)",0.8029826223712271,False,True,False,COMPLETE
59,0.25431344415144413,2025-08-26 00:25:47.715880,2025-08-26 00:25:48.662006,0 days 00:00:00.946126,0.7745990500441748,1,"(1, 2, 3)",0.031242899183990005,6,0.25582161883857396,513,0.20339936838361128,2.0263633892633495,"(3, 6)",0.9984601828218767,True,True,True,COMPLETE
